County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Suffolk,SUNY College At Farmingdale,1992,,166,6,0,0,4,2,160,36,117,7,Non-New York City
Cattaraugus,Portville Vg PD,1999,,4,0,0,0,0,0,4,0,4,0,Non-New York City
Schenectady,Glenville Town PD,2007,12,292,7,0,1,0,6,285,34,236,15,Non-New York City
Westchester,Elmsford Vg PD,1998,,163,8,0,0,5,3,155,14,137,4,Non-New York City
Cattaraugus,Franklinville Vg PD,1994,,15,2,0,0,0,2,13,0,13,0,Non-New York City
Steuben,Hornell City PD,2014,12,121,5,0,0,0,5,116,13,101,2,Non-New York City
Westchester,Yonkers City PD,2007,12,3890,878,10,44,424,400,3012,642,1994,376,Non-New York City
Steuben,Hammondsport Vg PD,1990,,65,0,0,0,0,0,65,5,58,2,Non-New York City
Monroe,Gates Town PD,2003,12,1250,37,0,1,31,5,1213,128,950,135,Non-New York City
Cayuga,Cayuga County Sheriff,1993,,385,34,0,4,3,27,351,130,211,10,Non-New York City
Westchester,Pound Ridge Town PD,2012,12,23,3,0,0,0,3,20,4,16,0,Non-New York City
Albany,Albany City PD,1997,,7354,1035,7,66,429,533,6319,1762,4132,425,Non-New York City
Franklin,Malone Vg PD,2005,12,193,13,0,5,1,7,180,17,163,0,Non-New York City
Suffolk,Suffolk County Park Police,2001,,105,7,0,0,0,7,98,6,92,0,Non-New York City
Ontario,Manchester Vg PD,2009,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Cattaraugus,Cattaraugus County Sheriff,2011,12,567,40,0,5,5,30,527,160,348,19,Non-New York City
Columbia,Chatham Vg PD,2010,12,76,15,0,0,0,15,61,9,48,4,Non-New York City
Herkimer,Herkimer County (RR-CSX),2005,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Orange,Blooming Grove Town PD,2007,12,128,11,0,0,1,10,117,30,75,12,Non-New York City
Saratoga,Saratoga County Sheriff,1995,,1154,95,0,2,14,79,1059,283,740,36,Non-New York City
Onondaga,Marcellus Vg PD,2007,11,18,0,0,0,0,0,18,6,12,0,Non-New York City
Tioga,Owego Vg PD,1995,,306,43,0,3,1,39,263,44,209,10,Non-New York City
Madison,Madison County Sheriff,2017,12,169,21,0,5,1,15,148,28,110,10,Non-New York City
Cayuga,Cayuga County Park PD,2004,11,9,1,0,0,0,1,8,0,8,0,Non-New York City
Steuben,Canisteo Vg PD,2013,12,15,3,0,0,1,2,12,3,9,0,Non-New York City
Chautauqua,Westfield Vg PD,2000,,72,4,0,1,0,3,68,1,67,0,Non-New York City
Saratoga,County Total,1999,,2935,218,0,23,24,171,2717,616,1997,104,Non-New York City
Montgomery,St Johnsville Vg PD,1993,,63,4,0,1,1,2,59,11,47,1,Non-New York City
Ulster,New Paltz Town and Vg PD,1993,,522,72,1,1,5,65,450,70,362,18,Non-New York City
Nassau,Freeport Vg PD,2006,12,1113,234,1,2,123,108,879,114,642,123,Non-New York City
Wayne,Sodus Vg PD,1993,,45,11,0,0,0,11,34,1,31,2,Non-New York City
Orange,Wallkill Town PD,2003,12,246,16,0,0,7,9,230,22,200,8,Non-New York City
Oneida,New Hartford Town and Vg PD,2017,12,611,16,0,2,6,8,595,26,560,9,Non-New York City
Niagara,County Total,2009,,7173,847,9,48,237,553,6326,1628,4433,265,Non-New York City
Dutchess,Red Hook Vg PD,2011,12,53,0,0,0,0,0,53,7,45,1,Non-New York City
Schuyler,Schuyler County Sheriff,2006,12,102,7,0,1,0,6,95,27,63,5,Non-New York City
Allegany,Allegany County Sheriff,2013,12,10,8,0,0,0,8,2,0,2,0,Non-New York City
Jefferson,Jefferson County Sheriff,1999,,490,40,0,11,1,28,450,146,283,21,Non-New York City
Orange,Highland Falls Vg PD,2009,12,27,5,0,0,2,3,22,5,17,0,Non-New York City
Monroe,Irondequoit Town PD,2017,12,1230,109,1,11,41,56,1121,157,906,58,Non-New York City
Ulster,Rosendale Town PD,2009,12,23,1,0,0,0,1,22,3,17,2,Non-New York City
Clinton,Clinton County State Police,2012,12,1012,57,0,14,5,38,955,191,735,29,Non-New York City
Rockland,Suffern Vg PD,2004,12,158,22,0,1,2,19,136,13,112,11,Non-New York City
Otsego,Otsego County State Police,2001,,516,66,0,4,1,61,450,97,352,1,Non-New York City
Albany,Colonie Town PD,2005,12,2976,78,0,9,33,36,2898,326,2454,118,Non-New York City
Erie,Hamburg Vg PD,2008,12,204,5,0,0,0,5,199,23,172,4,Non-New York City
Delaware,Delaware County Sheriff,2015,12,153,23,0,14,1,8,130,39,90,1,Non-New York City
Washington,Cambridge Vg PD,2001,,49,2,0,0,0,2,47,7,39,1,Non-New York City
Chautauqua,Chautauqua County State Police,1996,,304,23,0,0,1,22,281,66,206,9,Non-New York City
Rockland,County Total,2001,,6099,719,4,33,197,485,5380,885,4179,316,Non-New York City
Warren,Bolton Town PD,1993,,8,0,0,0,0,0,8,1,7,0,Non-New York City
Suffolk,Westhampton Beach Vg PD,1994,,157,12,0,0,1,11,145,55,79,11,Non-New York City
Herkimer,Herkimer County State Police,1992,,432,29,0,3,2,24,403,198,200,5,Non-New York City
Delaware,Delhi Vg PD,2008,12,25,1,0,0,1,0,24,3,21,0,Non-New York City
Allegany,SUNY College at Alfred,2005,12,144,8,0,2,1,5,136,14,119,3,Non-New York City
Monroe,Monroe County Sheriff,1999,,5477,110,3,16,36,55,5367,701,4424,242,Non-New York City
Livingston,County Total,2005,,1902,66,1,12,6,47,1836,226,1580,30,Non-New York City
Westchester,Briarcliff Manor Vg PD,1999,,83,2,0,0,0,2,81,10,66,5,Non-New York City
Westchester,New Rochelle City PD,2017,12,1333,182,1,11,70,100,1151,105,979,67,Non-New York City
Monroe,Monroe County State Police,2003,12,50,27,0,0,0,27,23,1,22,0,Non-New York City
Jefferson,West Carthage Vg PD,1995,,4,0,0,0,0,0,4,0,4,0,Non-New York City
Sullivan,County Total,2013,,1719,172,1,18,22,131,1547,484,1023,40,Non-New York City
Suffolk,Lloyd Harbor Vg PD,1997,,24,0,0,0,0,0,24,7,17,0,Non-New York City
Tioga,Tioga County State Police,2005,12,177,13,1,3,1,8,164,38,121,5,Non-New York City
Rensselaer,Rensselaer City PD,2007,12,294,29,0,5,9,15,265,60,189,16,Non-New York City
Livingston,Geneseo Vg PD,2014,12,117,5,0,1,1,3,112,8,103,1,Non-New York City
Saratoga,Saratoga County Sheriff,2013,12,1244,59,0,4,8,47,1185,243,906,36,Non-New York City
Oswego,Central Square Vg PD,1993,,8,0,0,0,0,0,8,0,8,0,Non-New York City
Putnam,Putnam County State Police,1998,,151,22,0,1,2,19,129,32,79,18,Non-New York City
Suffolk,Southampton Vg PD,2006,12,148,6,0,0,1,5,142,11,127,4,Non-New York City
Rockland,Haverstraw Town PD,1994,,461,64,0,1,3,60,397,95,277,25,Non-New York City
Rockland,County Total,2000,,6009,635,6,23,168,438,5374,789,4243,342,Non-New York City
Chemung,Elmira Town PD,2002,12,24,1,0,0,1,0,23,2,21,0,Non-New York City
Orleans,Orleans County Sheriff,2007,12,283,23,1,3,2,17,260,83,156,21,Non-New York City
Westchester,White Plains City PD,1999,,2489,192,1,6,78,107,2297,83,2077,137,Non-New York City
Saratoga,Saratoga Springs City PD,1999,,766,37,0,4,12,21,729,120,591,18,Non-New York City
Erie,Akron Vg PD,2005,12,26,7,0,1,0,6,19,4,15,0,Non-New York City
Chautauqua,Chautauqua County State Police,2011,12,211,12,0,3,0,9,199,42,145,12,Non-New York City
Suffolk,Suffolk County Park PD,2000,,68,8,0,0,1,7,60,6,54,0,Non-New York City
Broome,County Total,2017,,5568,694,4,150,138,402,4874,786,3944,144,Non-New York City
Greene,Hunter Town PD,2014,1,2,0,0,0,0,0,2,0,2,0,Non-New York City
Onondaga,Cicero Town PD,1995,,343,26,0,0,4,22,317,45,265,7,Non-New York City
Westchester,Bronxville Vg PD,2009,12,70,1,0,0,1,0,69,10,55,4,Non-New York City
Erie,Lackawanna City PD,2010,12,584,115,0,7,24,84,469,125,310,34,Non-New York City
Monroe,Monroe County Sheriff,2015,12,3334,204,2,50,38,114,3130,415,2602,113,Non-New York City
Schoharie,Schoharie County Sheriff,2013,12,75,4,0,0,0,4,71,24,45,2,Non-New York City
Oneida,Whitesboro Vg PD,2007,12,78,15,0,0,1,14,63,14,46,3,Non-New York City
Nassau,Rockville Centre Vg PD,1997,,675,64,0,3,16,45,611,87,423,101,Non-New York City
Columbia,Philmont Vg PD,1992,,31,11,0,0,0,11,20,8,12,0,Non-New York City
Ulster,Saugerties Town PD,1994,,386,15,1,1,0,13,371,86,260,25,Non-New York City
Niagara,Youngstown Vg PD,2008,12,9,0,0,0,0,0,9,7,2,0,Non-New York City
Rensselaer,Rensselaer County Sheriff,2000,,522,51,0,4,8,39,471,120,343,8,Non-New York City
Cattaraugus,Salamanca City PD,2011,12,289,25,0,1,3,21,264,58,198,8,Non-New York City
Oneida,Rome City PD,2011,12,467,26,1,1,9,15,441,109,311,21,Non-New York City
Orange,Tuxedo Town PD,2000,,25,1,0,0,0,1,24,6,17,1,Non-New York City
St Lawrence,Gouverneur Vg PD,1998,,194,5,0,1,0,4,189,42,142,5,Non-New York City
Westchester,Ardsley Vg PD,2008,12,41,2,0,0,1,1,39,3,35,1,Non-New York City
Oneida,Waterville Vg PD,1992,,3,0,0,0,0,0,3,1,2,0,Non-New York City
Columbia,Columbia County Park PD,1996,,5,0,0,0,0,0,5,1,4,0,Non-New York City
Allegany,Independence Town PD,2004,0,,,,,,,,,,,Non-New York City
Onondaga,Onondaga County (RR-RC),1995,,26,0,0,0,0,0,26,20,6,0,Non-New York City
Cattaraugus,Franklinville Vg PD,2006,12,19,9,0,0,0,9,10,3,7,0,Non-New York City
Sullivan,Liberty Vg PD,2013,12,228,21,0,2,2,17,207,43,161,3,Non-New York City
Oneida,Rome City PD,1994,,1050,71,2,13,20,36,979,279,638,62,Non-New York City
Chautauqua,Fredonia Vg PD,2005,12,246,15,0,1,4,10,231,26,197,8,Non-New York City
Suffolk,Amityville Vg PD,1995,,266,14,0,0,9,5,252,41,186,25,Non-New York City
Oswego,County Total,2001,,2994,116,2,14,25,75,2878,662,2111,105,Non-New York City
Onondaga,Camillus Town and Vg PD,1995,,333,6,0,0,2,4,327,69,252,6,Non-New York City
Schenectady,Schenectady County Sheriff,2000,,1,1,0,0,0,1,0,0,0,0,Non-New York City
Schoharie,SUNY College at Cobleskill,2004,12,98,6,0,2,2,2,92,15,76,1,Non-New York City
Allegany,Andover Vg PD,1996,,6,6,0,0,0,6,0,0,0,0,Non-New York City
Westchester,Rye City PD,2009,12,218,3,0,0,2,1,215,38,168,9,Non-New York City
Albany,Altamont Vg PD,2010,12,14,0,0,0,0,0,14,3,11,0,Non-New York City
Nassau,Hempstead Vg PD,2007,12,1244,335,7,12,141,175,909,194,497,218,Non-New York City
Hamilton,County Total,2003,,71,3,0,1,0,2,68,26,42,0,Non-New York City
St Lawrence,SUNY College At Canton,1996,,78,0,0,0,0,0,78,1,77,0,Non-New York City
Tompkins,Dryden Vg PD,2013,12,102,3,0,0,1,2,99,6,93,0,Non-New York City
Albany,Guilderland Town PD,2004,12,1047,30,0,2,16,12,1017,75,914,28,Non-New York City
Rockland,County Total,1991,,7910,787,7,40,199,541,7123,1501,5131,491,Non-New York City
Chautauqua,Fredonia Vg PD,1991,,267,15,1,0,0,14,252,34,203,15,Non-New York City
Saratoga,Saratoga County Park PD,1993,,46,2,0,1,0,1,44,3,41,0,Non-New York City
Broome,Deposit Vg PD,2013,12,14,0,0,0,0,0,14,6,8,0,Non-New York City
Putnam,Cold Spring Vg PD,2000,,42,6,0,0,1,5,36,6,30,0,Non-New York City
Orange,Tuxedo Park Vg PD,1998,,3,0,0,0,0,0,3,0,3,0,Non-New York City
Westchester,Yorktown Town PD,1993,,799,13,0,0,5,8,786,112,639,35,Non-New York City
Westchester,Rye Brook Vg PD,1994,,226,8,0,1,2,5,218,24,175,19,Non-New York City
Herkimer,Herkimer County State Police,2007,12,241,30,0,4,4,22,211,115,92,4,Non-New York City
Madison,Oneida City PD,1997,,580,9,0,4,4,1,571,94,466,11,Non-New York City
Jefferson,Clayton Vg PD,2005,12,41,2,0,0,0,2,39,12,23,4,Non-New York City
Albany,County Total,1999,,14145,1133,13,73,435,612,13012,2845,9509,658,Non-New York City
Nassau,Rockville Centre Vg PD,1990,,908,49,0,4,26,19,859,129,531,199,Non-New York City
Suffolk,East Hampton Vg PD,2005,12,145,7,0,0,1,6,138,12,119,7,Non-New York City
Chautauqua,Chautauqua County State Police,1998,,200,34,2,3,2,27,166,53,107,6,Non-New York City
Oneida,Utica City PD,1992,,4452,289,5,34,160,90,4163,907,2969,287,Non-New York City
Monroe,Fairport Vg PD,2011,12,67,7,0,0,5,2,60,11,49,0,Non-New York City
Rensselaer,Troy City PD,1991,,2567,121,4,16,62,39,2446,772,1567,107,Non-New York City
Westchester,North Castle Town PD,2009,12,108,4,0,0,1,3,104,22,80,2,Non-New York City
Allegany,Alfred Vg PD,2012,12,49,4,0,1,0,3,45,9,35,1,Non-New York City
Orange,Chester Town PD,2005,12,38,3,0,0,1,2,35,6,27,2,Non-New York City
Warren,Warren County Sheriff,2002,12,1041,62,1,8,5,48,979,170,789,20,Non-New York City
Cayuga,Weedsport Vg PD,2006,12,54,0,0,0,0,0,54,0,54,0,Non-New York City
Essex,Essex County (RR-D and H),1994,,2,0,0,0,0,0,2,0,2,0,Non-New York City
Rockland,Ramapo Town PD,1994,,1587,52,2,4,22,24,1535,350,1142,43,Non-New York City
Orange,Goshen Vg PD,1998,,140,9,0,0,0,9,131,16,111,4,Non-New York City
St Lawrence,Canton Vg PD,1991,,359,12,0,2,0,10,347,27,310,10,Non-New York City
Steuben,County Total,1995,,3466,214,4,16,13,181,3252,670,2514,68,Non-New York City
Seneca,Seneca County Park PD,2014,12,4,0,0,0,0,0,4,0,4,0,Non-New York City
Greene,Greene County Sheriff,2007,12,43,7,0,0,1,6,36,8,25,3,Non-New York City
Delaware,Hancock Vg PD,2002,12,17,6,0,0,0,6,11,3,8,0,Non-New York City
Queens,County Total,2007,,42630,9846,72,207,4417,5150,32784,5688,23151,3945,New York City
Ontario,Ontario County Sheriff,2004,12,1081,34,3,3,4,24,1047,261,729,57,Non-New York City
Orange,Goshen Town PD,2013,12,63,1,0,0,0,1,62,7,52,3,Non-New York City
Clinton,Clinton County Park PD,1995,,16,1,0,0,0,1,15,2,13,0,Non-New York City
Cortland,Mcgraw Vg PD,1997,,15,0,0,0,0,0,15,2,13,0,Non-New York City
Tioga,Waverly Vg PD,2001,,135,11,0,2,0,9,124,3,121,0,Non-New York City
Cayuga,Cayuga County Sheriff,2017,12,206,40,0,15,1,24,166,39,124,3,Non-New York City
Otsego,County Total,2009,,1201,140,0,18,18,104,1061,324,719,18,Non-New York City
Oswego,Oswego County State Police,2011,12,951,34,0,7,3,24,917,249,635,33,Non-New York City
Putnam,Putnam County State Police,2012,12,124,9,0,1,0,8,115,34,73,8,Non-New York City
Oneida,Vernon Vg PD,2012,12,28,3,0,0,0,3,25,5,19,1,Non-New York City
Erie,Erie County State Police,1995,,912,76,0,4,12,60,836,248,545,43,Non-New York City
Rockland,Stony Point Town PD,2002,12,112,4,0,2,0,2,108,23,84,1,Non-New York City
Putnam,Putnam County Park PD,1995,,3,0,0,0,0,0,3,0,3,0,Non-New York City
Chautauqua,Westfield Vg PD,2011,12,27,1,0,0,0,1,26,7,17,2,Non-New York City
Allegany,Cuba Town PD,2007,12,50,12,0,1,0,11,38,18,20,0,Non-New York City
Suffolk,Asharoken Vg PD,1994,,3,0,0,0,0,0,3,0,3,0,Non-New York City
Monroe,Monroe County State Police,1992,,521,12,0,5,2,5,509,35,459,15,Non-New York City
Warren,Warren County State Police,1994,,199,7,0,5,0,2,192,27,156,9,Non-New York City
Albany,Albany City PD,2010,12,5616,978,3,41,314,620,4638,923,3489,226,Non-New York City
Greene,Windham Town PD,2004,12,29,0,0,0,0,0,29,4,25,0,Non-New York City
Chenango,Chenango County Sheriff,2000,,469,53,0,0,1,52,416,94,314,8,Non-New York City
Fulton,Northville Vg PD,2007,12,25,1,0,0,0,1,24,2,22,0,Non-New York City
Dutchess,Millbrook Vg PD,1993,,20,0,0,0,0,0,20,1,19,0,Non-New York City
Herkimer,County Total,1997,,1506,154,0,14,6,134,1352,342,965,45,Non-New York City
Putnam,Putnam County Park PD,2004,12,5,0,0,0,0,0,5,0,5,0,Non-New York City
Wayne,Wayne County State Police,1990,,602,43,3,6,8,26,559,156,383,20,Non-New York City
Westchester,Pound Ridge Town PD,2004,12,32,0,0,0,0,0,32,5,27,0,Non-New York City
Tompkins,Groton Vg PD,1998,,65,2,0,0,0,2,63,6,53,4,Non-New York City
Oswego,Oswego City PD,2008,12,597,64,0,14,7,43,533,86,437,10,Non-New York City
Wyoming,Wyoming County Park PD,2009,12,6,0,0,0,0,0,6,0,6,0,Non-New York City
Cattaraugus,Salamanca City PD,2013,12,173,18,0,1,2,15,155,38,105,12,Non-New York City
Schuyler,Schuyler County Sheriff,2011,12,66,9,0,0,0,9,57,20,33,4,Non-New York City
Chautauqua,Westfield Vg PD,1994,,110,8,0,0,0,8,102,17,85,0,Non-New York City
Niagara,Youngstown Vg PD,2014,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Saratoga,Waterford Town and Vg PD,1991,,192,1,0,0,0,1,191,34,152,5,Non-New York City
Lewis,Lewis County State Police,2006,12,99,14,0,6,0,8,85,44,39,2,Non-New York City
Orange,Walden Vg PD,2005,12,149,9,0,0,0,9,140,6,129,5,Non-New York City
Orange,Crawford Town PD,2016,12,74,7,0,1,3,3,67,10,55,2,Non-New York City
Nassau,Hempstead Vg PD,2008,12,1238,341,10,10,192,129,897,197,469,231,Non-New York City
Ulster,Ulster County Sheriff,2011,12,388,40,0,4,5,31,348,95,247,6,Non-New York City
Albany,Altamont Vg PD,2007,12,10,0,0,0,0,0,10,0,10,0,Non-New York City
Orange,Montgomery Town PD,1994,,80,2,0,0,1,1,78,6,68,4,Non-New York City
Washington,Cambridge Vg PD,1999,,37,2,0,0,0,2,35,11,22,2,Non-New York City
Orange,Mount Hope Town PD,2009,12,38,3,0,0,0,3,35,11,21,3,Non-New York City
Onondaga,North Syracuse Vg PD,2001,,174,14,0,0,6,8,160,27,131,2,Non-New York City
Rockland,Rockland County MTA,2013,12,4,0,0,0,0,0,4,0,4,0,Non-New York City
Albany,County Total,2004,,12710,1431,14,77,481,859,11279,1991,8612,676,Non-New York City
Broome,Deposit Vg PD,2007,12,8,4,0,0,0,4,4,2,2,0,Non-New York City
Allegany,Allegany County State Police,1990,,563,76,0,4,1,71,487,235,247,5,Non-New York City
Richmond,County Total,2009,,6962,1303,16,33,395,859,5659,629,4602,428,New York City
Yates,County Total,2000,,348,26,1,3,2,20,322,86,222,14,Non-New York City
Schenectady,Glenville Town PD,1990,,441,42,0,4,4,34,399,131,256,12,Non-New York City
Steuben,Steuben County State Police,2003,12,394,72,0,26,8,38,322,85,220,17,Non-New York City
Jefferson,Cape Vincent Vg PD,2009,12,17,0,0,0,0,0,17,2,15,0,Non-New York City
Wayne,County Total,2017,,1487,186,3,79,17,87,1301,241,1017,43,Non-New York City
Orange,Warwick Town PD,2012,12,248,18,0,3,1,14,230,34,190,6,Non-New York City
Chemung,Horseheads Vg PD,2011,12,135,4,0,0,0,4,131,12,117,2,Non-New York City
Cattaraugus,Cattaraugus County Park PD,1997,,12,2,0,0,0,2,10,1,9,0,Non-New York City
Fulton,Gloversville City PD,2005,12,682,54,0,3,4,47,628,129,477,22,Non-New York City
Fulton,Gloversville City PD,1996,,1000,52,0,4,8,40,948,191,721,36,Non-New York City
Onondaga,Geddes Town PD,2002,12,210,7,0,0,6,1,203,26,169,8,Non-New York City
Onondaga,Manlius Town PD,1998,,494,23,0,2,3,18,471,117,329,25,Non-New York City
Steuben,Canisteo Vg PD,2005,12,76,5,0,0,0,5,71,18,52,1,Non-New York City
Nassau,Malverne Vg PD,1996,,105,13,0,0,7,6,92,11,69,12,Non-New York City
Sullivan,Monticello Vg PD,2003,12,336,39,0,1,10,28,297,104,185,8,Non-New York City
Onondaga,County Total,1996,,20303,1729,17,106,682,924,18574,4440,13055,1079,Non-New York City
Schenectady,County Total,2005,,5764,708,8,48,279,373,5056,995,3694,367,Non-New York City
Clinton,Plattsburgh City PD,2013,12,525,41,0,5,4,32,484,80,396,8,Non-New York City
Sullivan,Sullivan County Sheriff,2012,12,590,27,0,2,5,20,563,164,392,7,Non-New York City
Suffolk,Riverhead Town PD,2016,12,880,76,0,1,38,37,804,77,717,10,Non-New York City
Yates,Yates County Sheriff,2010,12,252,10,0,3,2,5,242,83,156,3,Non-New York City
Niagara,Lewiston Town PD,2006,12,177,9,0,2,1,6,168,29,130,9,Non-New York City
Allegany,Angelica Vg PD,2005,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Yates,Yates County Sheriff,2014,12,233,10,0,2,1,7,223,70,147,6,Non-New York City
Albany,Albany City PD,1991,,7569,1201,11,71,487,632,6368,1988,3878,502,Non-New York City
Onondaga,Geddes Town PD,1991,,379,8,0,0,6,2,371,55,307,9,Non-New York City
Chemung,Chemung County (RR-RC) ,1996,,3,0,0,0,0,0,3,0,3,0,Non-New York City
Monroe,Ogden Town PD,2000,,415,7,0,1,0,6,408,74,326,8,Non-New York City
Monroe,Ogden Town PD,2005,12,348,7,0,1,3,3,341,60,253,28,Non-New York City
Albany,Albany County Park PD,1993,,1,0,0,0,0,0,1,0,1,0,Non-New York City
Oneida,County Total,1997,,7587,693,7,71,210,405,6894,1526,5037,331,Non-New York City
Niagara,Middleport Vg PD,2001,,31,2,0,0,0,2,29,4,25,0,Non-New York City
Chautauqua,Jamestown City PD,2007,12,1324,168,1,20,30,117,1156,300,819,37,Non-New York City
Onondaga,Liverpool Vg PD,2006,12,37,2,0,0,0,2,35,6,29,0,Non-New York City
Westchester,Westchester County MTA,2001,,28,3,0,0,0,3,25,3,18,4,Non-New York City
Onondaga,Camillus Town and Vg PD,1999,,358,13,0,1,7,5,345,42,293,10,Non-New York City
New York,County Total,2010,,51297,8829,70,282,3787,4690,42468,2967,38514,987,New York City
Orange,Walden Vg PD,1994,,182,52,0,1,1,50,130,16,107,7,Non-New York City
Cattaraugus,Salamanca City PD,1990,,378,38,0,1,2,35,340,71,254,15,Non-New York City
Schoharie,Schoharie Vg PD,2003,12,8,1,0,1,0,0,7,2,5,0,Non-New York City
Putnam,Brewster Vg PD,2006,0,,,,,,,,,,,Non-New York City
Oswego,Oswego County Sheriff,1995,,754,27,0,11,1,15,727,195,500,32,Non-New York City
Nassau,Garden City Vg PD,2014,12,291,12,1,0,8,3,279,25,246,8,Non-New York City
Warren,Glens Falls City PD,2003,12,400,35,0,1,6,28,365,59,297,9,Non-New York City
Nassau,SUNY College at Old Westbury,2006,12,75,0,0,0,0,0,75,3,66,6,Non-New York City
Orange,Greenwood Lake Vg PD,1999,,207,29,0,2,2,25,178,28,137,13,Non-New York City
Wayne,Wayne County (RR-CSX),2007,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Niagara,Niagara Falls City PD,2013,12,3393,584,3,12,166,403,2809,746,1949,114,Non-New York City
Albany,Albany County Sheriff,2017,12,162,18,0,8,0,10,144,15,121,8,Non-New York City
Monroe,SUNY College At Brockport,1995,,172,14,0,8,0,6,158,32,125,1,Non-New York City
Oswego,Pulaski Vg PD,1997,,62,0,0,0,0,0,62,5,56,1,Non-New York City
Franklin,Malone Vg PD,1993,,485,82,0,5,0,77,403,71,330,2,Non-New York City
Herkimer,Ilion Vg PD,1999,,238,22,0,2,0,20,216,17,199,0,Non-New York City
Schuyler,Watkins Glen Vg PD,2013,12,99,6,0,0,0,6,93,10,81,2,Non-New York City
Suffolk,Shelter Island Town PD,2012,12,53,0,0,0,0,0,53,17,36,0,Non-New York City
